Грозненские ГЭС;Северная;Ф-32;117;00075358-002e-4413-bd69-846839fbd532
Курчалоевский РЭС;Бачи-Юрт;Ф-2;50;001a546c-e26a-4fdc-a18f-d58c247fe210
Урус-Мартановский РЭС;Горец;Ф-9;36;004048d9-29e9-4ff8-9d7f-0bccf6cf197b
Грозненский РЭС;Петропавловская;Ф-1;18;00483879-2710-4ff5-b72b-e86959c9292e
Урус-Мартановский РЭС;Урус-Мартан;Ф-9;10;0054b097-496a-418a-a7c1-10f236b1568a
Грозненский РЭС;Озеро;Ф-6;13;00601a91-2600-4d2c-8794-a4126b8fae9d
Гудермесские ГЭС;Гудермес-Город;Ф-7;54;007a7c8b-bda3-4116-9949-dda3ad443e6e
Шалинский РЭС;Цемзавод;Ф-3;64;0089946a-6abc-4027-9460-840691537806
Урус-Мартановский РЭС;Алхазурово;Ф-6;14;009fa04f-f158-4dc7-a955-6cf2e6e1a881
Грозненские ГЭС;Южная;Ф-5;453;00a17f31-43b1-487a-a3f1-e8006c000d2b
Урус-Мартановский РЭС;Урус-Мартан;Ф-3;19;00a53edd-e9da-4528-abc9-cd51ff8640f7
Ачхой-Мартановский РЭС;Ачхой-Мартан;Ф-9;5;00a59b2e-063c-4be9-aa77-97fa9d5b56e6
Гудермесские ГЭС;Гудермес-Город;Ф-18;80;00afefcd-1a5d-47c5-995f-6eb5def98d2d
Надтеречный РЭС;Знаменская;Ф-5;3;00e64f2f-45e0-42ff-9ada-1eb5cd85def8
Ачхой-Мартановский РЭС;Самашки;Ф-4;30;00ed4847-d7ab-417d-9c52-9d562d4c1398
Урус-Мартановский РЭС;Предгорная;Ф-2;38;00ee766b-73d1-416c-985d-672fda1ad130
Шелковской РЭС;Червленная;Ф-2;ТП-25;00f4d482-fd7e-4189-a45b-dfd6ebb30b92
Надтеречный РЭС;Горская-4;Ф-3;14;00fda2f1-81de-4369-8289-e7b6e213467f
Шелковской РЭС;Шелковская-110;Ф-1;24;010230b2-859c-42fa-82aa-5f4e5435864a
Урус-Мартановский РЭС;Горец;Ф-19;8;0128f541-463e-4f15-8c0e-0f08ad1363f5
Шалинский РЭС;Шали;Ф-4;80;012b0a4a-0d9b-4669-8593-cea1a88e0545
Надтеречный РЭС;Надтеречная;Ф-2;20;01332aa7-3285-4062-bcec-5312a1b1edba
Шалинский РЭС;Цемзавод;Ф-3;3-65;013b1077-63ee-4b52-98d6-1d76902a0857
Шалинский РЭС;Сержень-Юрт;Ф-5;1;01507332-9bbf-451a-8ed3-6ae2d1c4f457
Шалинский РЭС;Шали;Ф-5;22;015b2a9d-a1a2-420a-973a-5054544e4b17
Шалинский РЭС;Шали;Ф-5;7;015efeb8-c9aa-49b5-a88d-f2d944943a8a
Ножай-Юртовский РЭС;Саясан;Ф-2;7;0162c705-8541-40d2-88c4-4c8ac2ba06bc
Ножай-Юртовский РЭС;Ножай-Юрт;Ф-2;14;01686989-5352-4811-97c1-d8b0f9090b30
Гудермесские ГЭС;Гудермес-Город;Ф-18;25;0174730e-cd96-4ae5-9cf0-5fd5761679c9
Шалинский РЭС;Шали;Ф-4;56;017a12d5-11f6-4ca6-a1eb-33ffbe52c6b0
Шалинский РЭС;Шали;Ф-3;47;01925422-1ee4-48f4-a4a4-1fc1dd6cb1d7
Ачхой-Мартановский РЭС;Катар-Юрт;Ф-9;40;019c8021-af74-44ed-bd6a-fb48b37d2d6b
Шалинский РЭС;Аргунская ТЭЦ;Ф-14 ;21;019d26f6-0f68-4ee0-82ea-b3d1b77c15a6
Веденский РЭС;Ведено;Ф-4;8;019f80c0-847d-46f8-bf14-deefa62a1a22
Грозненский РЭС;№84;Ф-3;9;01a62620-65e8-4468-aa08-5c2d068a8179
Грозненские ГЭС;Восточная;Ф-6;31;01b2c2ab-1fa0-4c91-a126-ed794f083828
Ачхой-Мартановский РЭС;Серноводская;Ф-3;ТП-19;01fa132a-44b1-4fbb-868f-24661b3e573f
Ножай-Юртовский РЭС;Ножай-Юрт;Ф-5;4;0203a0f9-b37f-435a-83b3-9cd1350690f9
Урус-Мартановский РЭС;Урус-Мартан;Ф-8;41;0223592f-8eba-4d35-bf58-f0fb2a8b4993
Аргунские ГЭС;Октябрьская;Ф-3;11;0235b1c7-f6bd-4357-931f-faf68ee31d64
Шалинский РЭС;Шали;Ф-2;3;0273f789-6a48-4e07-8450-0917db6f126f
Ачхой-Мартановский РЭС;Катар-Юрт;Ф-4;3;0289cbbe-2e8e-479a-b4ff-c596c9da78cb
Урус-Мартановский РЭС;Горец;Ф-8;41;0297cb66-b221-4bb8-8703-2576afe8b6e8
Гудермесский РЭС;Энгель-Юрт;Ф-1;77;02c086cc-554c-458b-8bc6-4563bdbca351
Наурский РЭС;Алпатово;Ф-2;13;02d6c559-dfed-4527-b20d-788f1fde0e32
Гудермесский РЭС;АКХП;Ф-9;47;02e25d63-35d2-4d8d-87bf-3977699e807e
Урус-Мартановский РЭС;Горец;Ф-2;7;02f56390-8b72-4acc-beb7-998a0eee14d5
Гудермесские ГЭС;Гудермес-Город;Ф-22;54;02fa97a3-09de-4150-9dc9-536d7873593c
Грозненский РЭС;Толстой Юрт;Ф-6;1;030cb5b7-93dd-4b27-b7ba-2cd8129e0574
Урус-Мартановский РЭС;Урус-Мартан-1;Ф-5;10;0310a290-60c8-412c-99f7-5c3a6e8b9ad2
Гудермесский РЭС;Ойсунгур;Ф-5;3;033227e3-c8ae-426a-bde6-838b560e0a05
Урус-Мартановский РЭС;Горец;Ф-8;27;0345d33c-1ef9-425d-9f28-2cba06beb0bd
Надтеречный РЭС;Братская;Ф-3;8;035eab6e-1da8-4e0e-a5c6-ef9a96660c90
Грозненские ГЭС;ГРП-110;Ф-6;110;036191a2-2adf-42b7-96d9-2a996d063d0d
Аргунские ГЭС;Бердыкель;Ф-5;14;0362631b-1f6b-43a4-9446-061cbfb3d538
Грозненские ГЭС;Тепличная;Ф-2;347;03641c24-903d-4b7a-9e1a-3c041a9be258
Курчалоевский РЭС;Бачи-Юрт;Ф-4;13;037173c2-a628-4de8-94bd-363ca9cf6aa4
Ачхой-Мартановский РЭС;Катар-Юрт;Ф-8;6;03798d20-3ffc-4f9a-bc0c-07baa53d60e0
Шалинский РЭС;Шали;Ф-7;26;03843d72-427e-44bb-8ce1-2491da378bdc
Шелковской РЭС;Степная;Ф-5;3;03863513-a6a8-4bad-bf6d-1dbb0a6dda0f
Урус-Мартановский РЭС;Горец;Ф-9;28;039d4350-74e1-4c1b-9e6e-d2544dd86e1e
Грозненские ГЭС;Южная;Ф-5;187;03a144d5-7c24-4bef-bd28-286c4c62e125
Гудермесские ГЭС;Мединструмент;Ф-2;6;03a1af5c-6148-4bd8-9125-ea24734b6908
Грозненский РЭС;Толстой Юрт;Ф-1;6;03b086bb-70f8-4463-b7e4-ca3f4a310cc7
Урус-Мартановский РЭС;Урус-Мартан;Ф-10;15;03bcb3f4-bbd1-4ef7-b890-a3c03a5bbdc7
Урус-Мартановский РЭС;Урус-Мартан;Ф-2;23;03bdc25a-9dfb-4a7b-8de2-f658ff681cf6
Надтеречный РЭС;Знаменская;Ф-8;41;03bfeaa4-6685-446a-906f-e0cfc7e9f7ee
Курчалоевский РЭС;Бачи-Юрт;Ф-2;9;03db5a2d-66e2-41d0-8794-b6da4365a5fa
Урус-Мартановский РЭС;Урус-Мартан;Ф-3;13;03db68f1-93f1-4ec0-853e-d043762d5d39
Гудермесские ГЭС;Гудермес-Город;Ф-22;15;03dc5518-da6f-45b9-a76f-45e5e816d249
Шалинский РЭС;Шали;Ф-2;50;03f03284-9d2c-49a2-8d3b-9027fa0ba874
Шалинский РЭС;Шали;Ф-9;14;03f690fe-a260-4dcc-a054-729a3926af9c
Шатойский РЭС;Шатой;Ф-3;30;0406fa97-65df-42f4-b9e6-0b7046d820d9
